date;value
2017-10-18;1.81
2017-10-19;1.94
2017-10-20;2.98
2017-10-21;0.55
2017-10-22;0.63
2017-10-23;1.57
2017-10-24;3.78
2017-10-25;3.79
2017-10-26;3.3
2017-10-27;2.29
2017-10-28;0.84
2017-10-29;0.58
2017-10-30;0.42
2017-10-31;1.74
2017-11-01;4.1
2017-11-02;3.47
2017-11-03;2.65
2017-11-04;1.57
2017-11-05;0.63
2017-11-06;1.46
2017-11-07;1.51
2017-11-08;1.26
2017-11-09;1.39
2017-11-10;1.71
2017-11-11;1.13
2017-11-12;0.87
2017-11-13;1.39
2017-11-14;1.62
2017-11-15;3.76
2017-11-16;4.97
2017-11-17;2.1
2017-11-18;2.9
2017-11-19;2.67
2017-11-20;5.98
2017-11-21;5.21
2017-11-22;3.39
2017-11-23;5.53
2017-11-24;1.83
2017-11-25;0.43
2017-11-26;1.14
2017-11-27;1.9
2017-11-28;1.64
2017-11-29;1.64
2017-11-30;1.37
2017-12-01;0.91
2017-12-02;0.59
2017-12-03;1.18
2017-12-04;2.15
2017-12-05;2.7
2017-12-06;3.19
2017-12-07;3.34
2017-12-08;0.56
2017-12-09;0.83
2017-12-10;0.66
2017-12-11;0.55
2017-12-12;1.22
2017-12-13;2.12
2017-12-14;0.97
2017-12-15;0.86
2017-12-16;0.83
2017-12-17;1.37
2017-12-18;1.74
2017-12-19;2.33
2017-12-20;2.53
2017-12-21;3.9
2017-12-22;3.05
2017-12-23;2.6
2017-12-24;2.02
2017-12-25;1.09
2017-12-26;1.4
2017-12-27;0.87
2017-12-28;2.08
2017-12-29;4.71
2017-12-30;6.41
2017-12-31;1.3
2018-01-01;1.01
2018-01-02;0.71
2018-01-03;0.5
2018-01-04;2.58
2018-01-05;0.55
2018-01-06;0.51
2018-01-07;0.91
2018-01-08;1.95
2018-01-09;1.98
2018-01-10;2.6
2018-01-11;0.75
2018-01-12;3.43
2018-01-13;2.97
2018-01-14;1.38
2018-01-15;1.71
2018-01-16;0.83
2018-01-17;1.24
2018-01-18;2.4
2018-01-19;2.9
2018-01-20;2.91
2018-01-21;2.92
2018-01-22;3.45
2018-01-23;2.11
2018-01-24;2.11
2018-01-25;0.77
2018-01-26;0.74
2018-01-27;0.68
2018-01-28;1.26
2018-01-29;2.72
2018-01-30;1.95
2018-01-31;1.17
2018-02-01;1.38
2018-02-02;1.59
2018-02-03;1.15
2018-02-04;0.66
2018-02-05;1.24
2018-02-06;1.78
2018-02-07;1.43
2018-02-08;1.87
2018-02-09;2.18
2018-02-10;1.89
2018-02-11;1.48
2018-02-12;2.22
2018-02-13;2.15
2018-02-14;13.65
2018-02-15;11.35
2018-02-16;4.91
2018-02-17;1.64
2018-02-18;1.83
2018-02-19;1.51
2018-02-20;1.26
2018-02-21;1.34
2018-02-22;2.03
2018-02-23;2.17
2018-02-24;2.46
2018-02-25;2.84
2018-02-26;1.73
2018-02-27;0.55
2018-02-28;1.67
2018-03-01;6.57
2018-03-02;4.0
2018-03-03;4.11
2018-03-04;4.0
2018-03-05;1.64
2018-03-06;1.64
2018-03-07;1.87
2018-03-08;4.15
2018-03-09;2.27
2018-03-10;2.17
2018-03-11;0.41
2018-03-12;0.57
2018-03-13;2.83
2018-03-14;2.8
2018-03-15;2.52
2018-03-16;2.02
2018-03-17;0.8
2018-03-18;0.51
2018-03-19;0.85
2018-03-20;1.04
2018-03-21;1.09
2018-03-22;1.93
2018-03-23;2.03
2018-03-24;0.27
2018-03-25;0.79
2018-03-26;2.26
2018-03-27;1.54
2018-03-28;1.16
2018-03-29;0.5
2018-03-30;0.27
2018-03-31;0.46
2018-04-01;2.29
2018-04-02;4.14
2018-04-03;1.97
2018-04-04;2.07
2018-04-05;3.54
2018-04-06;3.91
2018-04-07;0.61
2018-04-08;0.77
2018-04-09;0.99
2018-04-10;1.22
2018-04-11;1.46
2018-04-12;3.24
2018-04-13;2.48
2018-04-14;1.8
2018-04-15;1.57
2018-04-16;2.02
2018-04-17;3.26
2018-04-18;3.84
2018-04-19;2.75
2018-04-20;1.77
2018-04-21;5.62
2018-04-22;2.3
