date;value;year;month;day;week;startDate;endDate;weekOrder
2017-04-09 00:00:00;0.31;2017;4;9;15;-;-;3
2017-04-10 00:00:00;0.25;2017;4;10;15;-;-;3
2017-04-11 00:00:00;0.21;2017;4;11;15;-;-;3
2017-04-12 00:00:00;0.25;2017;4;12;15;-;-;3
2017-04-13 00:00:00;0.2;2017;4;13;15;-;-;3
2017-04-14 00:00:00;0.45;2017;4;14;16;2017 4 14;2017 4 20;4
2017-04-15 00:00:00;0.2;2017;4;15;16;-;-;4
2017-04-16 00:00:00;0.24;2017;4;16;16;-;-;4
2017-04-17 00:00:00;0.22;2017;4;17;16;-;-;4
2017-04-18 00:00:00;0.2;2017;4;18;16;-;-;4
2017-04-19 00:00:00;0.21;2017;4;19;16;-;-;4
2017-04-20 00:00:00;0.25;2017;4;20;16;-;-;4
2017-04-21 00:00:00;0.49;2017;4;21;17;2017 4 21;2017 4 27;1
2017-04-22 00:00:00;0.42;2017;4;22;17;-;-;1
2017-04-23 00:00:00;0.21;2017;4;23;17;-;-;1
2017-04-24 00:00:00;0.42;2017;4;24;17;-;-;1
2017-04-25 00:00:00;0.2;2017;4;25;17;-;-;1
2017-04-26 00:00:00;0.2;2017;4;26;17;-;-;1
2017-04-27 00:00:00;0.21;2017;4;27;17;-;-;1
2017-04-28 00:00:00;0.27;2017;4;28;18;2017 4 28;2017 5 3;2
2017-04-29 00:00:00;0.25;2017;4;29;18;-;-;2
2017-04-30 00:00:00;0.23;2017;4;30;18;-;-;2
2017-4-31 00:00:00;0.3;2017;4;31;18;-;-;2
2017-05-01 00:00:00;0.36;2017;5;1;18;-;-;2
2017-05-02 00:00:00;0.36;2017;5;2;18;-;-;2
2017-05-03 00:00:00;0.2;2017;5;3;18;-;-;2
2017-05-04 00:00:00;0.28;2017;5;4;19;2017 5 4;2017 5 10;3
2017-05-05 00:00:00;0.35;2017;5;5;19;-;-;3
2017-05-06 00:00:00;0.26;2017;5;6;19;-;-;3
2017-05-07 00:00:00;0.21;2017;5;7;19;-;-;3
2017-05-08 00:00:00;0.25;2017;5;8;19;-;-;3
2017-05-09 00:00:00;0.23;2017;5;9;19;-;-;3
2017-05-10 00:00:00;0.38;2017;5;10;19;-;-;3
2017-05-11 00:00:00;0.27;2017;5;11;20;2017 5 11;2017 5 17;4
2017-05-12 00:00:00;0.26;2017;5;12;20;-;-;4
2017-05-13 00:00:00;0.28;2017;5;13;20;-;-;4
2017-05-14 00:00:00;0.23;2017;5;14;20;-;-;4
2017-05-15 00:00:00;0.47;2017;5;15;20;-;-;4
2017-05-16 00:00:00;0.41;2017;5;16;20;-;-;4
2017-05-17 00:00:00;0.66;2017;5;17;20;-;-;4
2017-05-18 00:00:00;0.27;2017;5;18;21;2017 5 18;2017 5 24;1
2017-05-19 00:00:00;0.61;2017;5;19;21;-;-;1
2017-05-20 00:00:00;0.26;2017;5;20;21;-;-;1
2017-05-21 00:00:00;0.37;2017;5;21;21;-;-;1
2017-05-22 00:00:00;0.37;2017;5;22;21;-;-;1
2017-05-23 00:00:00;0.47;2017;5;23;21;-;-;1
2017-05-24 00:00:00;0.38;2017;5;24;21;-;-;1
2017-05-25 00:00:00;1.26;2017;5;25;22;2017 5 25;2017 5 31;2
2017-05-26 00:00:00;0.84;2017;5;26;22;-;-;2
2017-05-27 00:00:00;0.38;2017;5;27;22;-;-;2
2017-05-28 00:00:00;0.21;2017;5;28;22;-;-;2
2017-05-29 00:00:00;0.27;2017;5;29;22;-;-;2
2017-05-30 00:00:00;0.36;2017;5;30;22;-;-;2
2017-05-31 00:00:00;0.33;2017;5;31;22;-;-;2
2017-06-01 00:00:00;1.5;2017;6;1;23;2017 6 1;2017 6 7;3
2017-06-02 00:00:00;0.24;2017;6;2;23;-;-;3
2017-06-03 00:00:00;0.22;2017;6;3;23;-;-;3
2017-06-04 00:00:00;0.23;2017;6;4;23;-;-;3
2017-06-05 00:00:00;0.33;2017;6;5;23;-;-;3
2017-06-06 00:00:00;0.2;2017;6;6;23;-;-;3
2017-06-07 00:00:00;0.34;2017;6;7;23;-;-;3
2017-06-08 00:00:00;0.29;2017;6;8;24;2017 6 8;2017 6 14;4
2017-06-09 00:00:00;0.3;2017;6;9;24;-;-;4
2017-06-10 00:00:00;0.25;2017;6;10;24;-;-;4
2017-06-11 00:00:00;0.2;2017;6;11;24;-;-;4
2017-06-12 00:00:00;0.24;2017;6;12;24;-;-;4
2017-06-13 00:00:00;0.27;2017;6;13;24;-;-;4
2017-06-14 00:00:00;0.27;2017;6;14;24;-;-;4
2017-06-15 00:00:00;0.22;2017;6;15;25;2017 6 15;2017 6 21;1
2017-06-16 00:00:00;0.2;2017;6;16;25;-;-;1
2017-06-17 00:00:00;0.2;2017;6;17;25;-;-;1
2017-06-18 00:00:00;0.23;2017;6;18;25;-;-;1
2017-06-19 00:00:00;0.46;2017;6;19;25;-;-;1
2017-06-20 00:00:00;0.41;2017;6;20;25;-;-;1
2017-06-21 00:00:00;0.45;2017;6;21;25;-;-;1
2017-06-22 00:00:00;0.33;2017;6;22;26;2017 6 22;2017 6 28;2
2017-06-23 00:00:00;0.28;2017;6;23;26;-;-;2
2017-06-24 00:00:00;0.25;2017;6;24;26;-;-;2
2017-06-25 00:00:00;0.25;2017;6;25;26;-;-;2
2017-06-26 00:00:00;0.3;2017;6;26;26;-;-;2
2017-06-27 00:00:00;0.31;2017;6;27;26;-;-;2
2017-06-28 00:00:00;0.27;2017;6;28;26;-;-;2
2017-06-29 00:00:00;0.26;2017;6;29;27;2017 6 29;2017 7 4;3
2017-06-30 00:00:00;0.29;2017;6;30;27;-;-;3
2017-6-31 00:00:00;0.28;2017;6;31;27;-;-;3
2017-07-01 00:00:00;0.26;2017;7;1;27;-;-;3
2017-07-02 00:00:00;0.25;2017;7;2;27;-;-;3
2017-07-03 00:00:00;0.25;2017;7;3;27;-;-;3
2017-07-04 00:00:00;0.29;2017;7;4;27;-;-;3
2017-07-05 00:00:00;0.28;2017;7;5;28;2017 7 5;2017 7 11;4
2017-07-06 00:00:00;0.35;2017;7;6;28;-;-;4
2017-07-07 00:00:00;0.33;2017;7;7;28;-;-;4
2017-07-08 00:00:00;0.25;2017;7;8;28;-;-;4
2017-07-09 00:00:00;0.25;2017;7;9;28;-;-;4
2017-07-10 00:00:00;0.25;2017;7;10;28;-;-;4
2017-07-11 00:00:00;0.25;2017;7;11;28;-;-;4
2017-07-12 00:00:00;0.34;2017;7;12;29;2017 7 12;2017 7 18;1
2017-07-13 00:00:00;0.3;2017;7;13;29;-;-;1
2017-07-14 00:00:00;0.26;2017;7;14;29;-;-;1
2017-07-15 00:00:00;0.25;2017;7;15;29;-;-;1
2017-07-16 00:00:00;0.25;2017;7;16;29;-;-;1
2017-07-17 00:00:00;0.26;2017;7;17;29;-;-;1
2017-07-18 00:00:00;0.34;2017;7;18;29;-;-;1
2017-07-19 00:00:00;0.31;2017;7;19;30;2017 7 19;2017 7 25;2
2017-07-20 00:00:00;0.27;2017;7;20;30;-;-;2
2017-07-21 00:00:00;0.29;2017;7;21;30;-;-;2
2017-07-22 00:00:00;0.25;2017;7;22;30;-;-;2
2017-07-23 00:00:00;0.25;2017;7;23;30;-;-;2
2017-07-24 00:00:00;0.25;2017;7;24;30;-;-;2
2017-07-25 00:00:00;0.25;2017;7;25;30;-;-;2
2017-07-26 00:00:00;0.32;2017;7;26;31;2017 7 26;2017 8 1;3
2017-07-27 00:00:00;0.35;2017;7;27;31;-;-;3
2017-07-28 00:00:00;0.32;2017;7;28;31;-;-;3
2017-07-29 00:00:00;0.25;2017;7;29;31;-;-;3
2017-07-30 00:00:00;0.25;2017;7;30;31;-;-;3
2017-07-31 00:00:00;0.26;2017;7;31;31;-;-;3
2017-08-01 00:00:00;0.28;2017;8;1;31;-;-;3
2017-08-02 00:00:00;0.37;2017;8;2;32;2017 8 2;2017 8 8;4
2017-08-03 00:00:00;0.27;2017;8;3;32;-;-;4
2017-08-04 00:00:00;0.28;2017;8;4;32;-;-;4
2017-08-05 00:00:00;0.25;2017;8;5;32;-;-;4
2017-08-06 00:00:00;0.25;2017;8;6;32;-;-;4
2017-08-07 00:00:00;0.27;2017;8;7;32;-;-;4
2017-08-08 00:00:00;0.26;2017;8;8;32;-;-;4
2017-08-09 00:00:00;0.3;2017;8;9;33;2017 8 9;2017 8 15;1
2017-08-10 00:00:00;0.5;2017;8;10;33;-;-;1
2017-08-11 00:00:00;0.29;2017;8;11;33;-;-;1
2017-08-12 00:00:00;0.48;2017;8;12;33;-;-;1
2017-08-13 00:00:00;0.26;2017;8;13;33;-;-;1
2017-08-14 00:00:00;0.25;2017;8;14;33;-;-;1
2017-08-15 00:00:00;0.25;2017;8;15;33;-;-;1
2017-08-16 00:00:00;0.31;2017;8;16;34;2017 8 16;2017 8 22;2
2017-08-17 00:00:00;0.28;2017;8;17;34;-;-;2
2017-08-18 00:00:00;0.25;2017;8;18;34;-;-;2
2017-08-19 00:00:00;0.25;2017;8;19;34;-;-;2
2017-08-20 00:00:00;0.25;2017;8;20;34;-;-;2
2017-08-21 00:00:00;0.55;2017;8;21;34;-;-;2
2017-08-22 00:00:00;0.56;2017;8;22;34;-;-;2
2017-08-23 00:00:00;0.27;2017;8;23;35;2017 8 23;2017 8 29;3
2017-08-24 00:00:00;0.27;2017;8;24;35;-;-;3
2017-08-25 00:00:00;0.35;2017;8;25;35;-;-;3
2017-08-26 00:00:00;0.31;2017;8;26;35;-;-;3
2017-08-27 00:00:00;0.37;2017;8;27;35;-;-;3
2017-08-28 00:00:00;0.39;2017;8;28;35;-;-;3
2017-08-29 00:00:00;0.26;2017;8;29;35;-;-;3
2017-08-30 00:00:00;0.27;2017;8;30;36;2017 8 30;2017 9 5;4
2017-08-31 00:00:00;0.55;2017;8;31;36;-;-;4
2017-09-01 00:00:00;0.35;2017;9;1;36;-;-;4
2017-09-02 00:00:00;0.28;2017;9;2;36;-;-;4
2017-09-03 00:00:00;0.32;2017;9;3;36;-;-;4
2017-09-04 00:00:00;0.26;2017;9;4;36;-;-;4
2017-09-05 00:00:00;0.33;2017;9;5;36;-;-;4
2017-09-06 00:00:00;0.28;2017;9;6;37;2017 9 6;2017 9 12;1
2017-09-07 00:00:00;0.28;2017;9;7;37;-;-;1
2017-09-08 00:00:00;0.25;2017;9;8;37;-;-;1
2017-09-09 00:00:00;0.26;2017;9;9;37;-;-;1
2017-09-10 00:00:00;0.29;2017;9;10;37;-;-;1
2017-09-11 00:00:00;0.27;2017;9;11;37;-;-;1
2017-09-12 00:00:00;0.28;2017;9;12;37;-;-;1
2017-09-13 00:00:00;0.37;2017;9;13;38;2017 9 13;2017 9 19;2
2017-09-14 00:00:00;0.26;2017;9;14;38;-;-;2
2017-09-15 00:00:00;0.29;2017;9;15;38;-;-;2
2017-09-16 00:00:00;0.38;2017;9;16;38;-;-;2
2017-09-17 00:00:00;0.26;2017;9;17;38;-;-;2
2017-09-18 00:00:00;0.36;2017;9;18;38;-;-;2
2017-09-19 00:00:00;0.28;2017;9;19;38;-;-;2
2017-09-20 00:00:00;0.65;2017;9;20;39;2017 9 20;2017 9 26;3
2017-09-21 00:00:00;0.42;2017;9;21;39;-;-;3
2017-09-22 00:00:00;0.25;2017;9;22;39;-;-;3
2017-09-23 00:00:00;0.37;2017;9;23;39;-;-;3
2017-09-24 00:00:00;0.26;2017;9;24;39;-;-;3
2017-09-25 00:00:00;0.27;2017;9;25;39;-;-;3
2017-09-26 00:00:00;0.42;2017;9;26;39;-;-;3
2017-09-27 00:00:00;0.74;2017;9;27;40;2017 9 27;2017 10 2;4
2017-09-28 00:00:00;0.75;2017;9;28;40;-;-;4
2017-09-29 00:00:00;0.47;2017;9;29;40;-;-;4
2017-09-30 00:00:00;0.32;2017;9;30;40;-;-;4
2017-9-31 00:00:00;0.29;2017;9;31;40;-;-;4
2017-10-01 00:00:00;0.26;2017;10;1;40;-;-;4
2017-10-02 00:00:00;0.31;2017;10;2;40;-;-;4
2017-10-03 00:00:00;0.28;2017;10;3;41;2017 10 3;2017 10 9;1
2017-10-04 00:00:00;0.26;2017;10;4;41;-;-;1
2017-10-05 00:00:00;0.29;2017;10;5;41;-;-;1
2017-10-06 00:00:00;0.26;2017;10;6;41;-;-;1
2017-10-07 00:00:00;0.29;2017;10;7;41;-;-;1
2017-10-08 00:00:00;0.3;2017;10;8;41;-;-;1
2017-10-09 00:00:00;0.38;2017;10;9;41;-;-;1
2017-10-10 00:00:00;0.64;2017;10;10;42;2017 10 10;2017 10 16;2
2017-10-11 00:00:00;0.62;2017;10;11;42;-;-;2
2017-10-12 00:00:00;0.7;2017;10;12;42;-;-;2
2017-10-13 00:00:00;0.43;2017;10;13;42;-;-;2
2017-10-14 00:00:00;0.7;2017;10;14;42;-;-;2
2017-10-15 00:00:00;2.63;2017;10;15;42;-;-;2
2017-10-16 00:00:00;0.66;2017;10;16;42;-;-;2
2017-10-17 00:00:00;0.36;2017;10;17;43;2017 10 17;2017 10 23;3
2017-10-18 00:00:00;1.11;2017;10;18;43;-;-;3
