timeStamps;magnitude;shape
('2017 1 16', '2017 1 22');86.42799589539025;1965.8804678713987
('2017 1 23', '2017 1 29');32.986149847691195;3591.410001235082
('2017 2 20', '2017 2 26');15.986156933081789;2067.998933068392
('2017 4 3', '2017 4 9');4.024532826435431;276.18476612279574
('2017 5 29', '2017 6 4');-8.593485219195362;512.6974219300511
('2017 11 20', '2017 11 26');9.587419607722854;133.5834119708573
('2018 9 10', '2018 9 16');11.935968216276708;366.08332884514226
('2018 11 26', '2018 12 2');17.259439402338376;106.53361336861369
('2018 12 10', '2018 12 16');11.62603013305831;211.26763897131576
('2018 12 17', '2018 12 23');10.867558491445454;118.86347644449737
('2018 12 24', '2018 12 30');13.961940988571442;198.6664441442806
('2019 1 21', '2019 1 27');35.698318989943715;586.2646317903882
('2019 2 4', '2019 2 10');14.692826968917199;326.756065188863
('2019 2 11', '2019 2 17');77.17762284063092;2806.487495771404
('2019 7 1', '2019 7 7');-8.739450939507291;196.08059447705352
('2019 7 29', '2019 8 4');10.013984318941407;224.0073714280366
('2019 8 19', '2019 8 25');-11.514214214467831;376.08483367572063
('2019 11 18', '2019 11 24');14.5498329367906;331.74205778394526
('2020 2 10', '2020 2 16');-8.432279558493939;241.89580170114624
('2020 2 24', '2020 3 1');-16.324610343700428;500.63394622167584
('2020 3 9', '2020 3 15');-8.58956285946191;505.8459947555614
('2020 4 13', '2020 4 19');-18.31587303560611;254.00932303360426
('2020 4 27', '2020 5 3');-20.986923258074718;10.503978604528232
('2020 5 11', '2020 5 17');-20.986923258074718;10.503978604528232
('2020 6 8', '2020 6 14');-104.15313759355209;1302.295444835871
('2020 6 15', '2020 6 21');-10.893567966518024;173.34877800257064
('2020 6 22', '2020 6 28');-24.61568129022322;535.9857389925223
('2020 7 6', '2020 7 12');-38.645450863025594;3223.444563587295
('2020 7 27', '2020 8 2');-52.52967986091692;3171.1912192724362
('2022 4 18', '2022 4 24');-4.158170582965532;177.5352902912808
