date,MXIL
2017-10-18,1.11
2017-10-19,0.63
2017-10-20,1.27
2017-10-21,0.27
2017-10-22,0.3
2017-10-23,0.5
2017-10-24,1.6
2017-10-25,1.64
2017-10-26,1.24
2017-10-27,0.71
2017-10-28,0.25
2017-10-29,0.25
2017-10-30,0.25
2017-10-31,0.58
2017-11-01,1.61
2017-11-02,1.09
2017-11-03,0.66
2017-11-04,0.5
2017-11-05,0.34
2017-11-06,0.45
2017-11-07,0.38
2017-11-08,0.35
2017-11-09,0.43
2017-11-10,0.47
2017-11-11,0.29
2017-11-12,0.31
2017-11-13,0.5
2017-11-14,0.35
2017-11-15,0.31
2017-11-16,1.14
2017-11-17,0.45
2017-11-18,0.59
2017-11-19,0.73
2017-11-20,0.93
2017-11-21,0.58
2017-11-22,0.25
2017-11-23,1.87
2017-11-24,0.45
2017-11-25,0.26
2017-11-26,0.39
2017-11-27,0.74
2017-11-28,0.56
2017-11-29,0.56
2017-11-30,0.37
2017-12-01,0.36
2017-12-02,0.27
2017-12-03,0.39
2017-12-04,0.87
2017-12-05,1.14
2017-12-06,1.31
2017-12-07,1.2
2017-12-08,0.26
2017-12-09,0.33
2017-12-10,0.27
2017-12-11,0.26
2017-12-12,0.43
2017-12-13,0.86
2017-12-14,0.37
2017-12-15,0.28
2017-12-16,0.32
2017-12-17,0.5
2017-12-18,0.49
2017-12-19,0.77
2017-12-20,0.89
2017-12-21,1.33
2017-12-22,1.1
2017-12-23,0.81
2017-12-24,0.88
2017-12-25,0.36
2017-12-26,1.01
2017-12-27,0.31
2017-12-28,0.82
2017-12-29,1.71
2017-12-30,2.69
2017-12-31,0.41
2018-01-01,0.46
2018-01-02,0.32
2018-01-03,0.26
2018-01-04,0.63
2018-01-05,0.28
2018-01-06,0.26
2018-01-07,0.39
2018-01-08,0.67
2018-01-09,0.61
2018-01-10,0.79
2018-01-11,0.3
2018-01-12,9.52
2018-01-13,2.61
2018-01-14,0.98
2018-01-15,0.61
2018-01-16,0.4
2018-01-17,0.66
2018-01-18,11.57
2018-01-19,6.61
2018-01-20,6.7
2018-01-21,6.8
2018-01-22,1.68
2018-01-23,2.26
2018-01-24,2.26
2018-01-25,2.85
2018-01-26,0.33
2018-01-27,0.46
2018-01-28,1.14
2018-01-29,1.72
2018-01-30,1.05
2018-01-31,0.38
2018-02-01,0.73
2018-02-02,1.07
2018-02-03,0.4
2018-02-04,0.31
2018-02-05,0.6
2018-02-06,0.72
2018-02-07,0.46
2018-02-08,1.25
2018-02-09,0.96
2018-02-10,0.88
2018-02-11,0.61
2018-02-12,2.36
2018-02-13,1.1
2018-02-14,8.22
2018-02-15,7.15
2018-02-16,2.66
2018-02-17,1.08
2018-02-18,1.07
2018-02-19,0.6
2018-02-20,0.51
2018-02-21,0.61
2018-02-22,0.93
2018-02-23,1.87
2018-02-24,1.21
2018-02-25,1.25
2018-02-26,0.72
2018-02-27,0.21
2018-02-28,0.59
2018-03-01,0.21
2018-03-02,0.21
2018-03-03,0.36
2018-03-04,0.36
2018-03-05,0.51
2018-03-06,0.51
2018-03-07,1.08
2018-03-08,2.51
2018-03-09,1.18
2018-03-10,1.08
2018-03-11,0.24
2018-03-12,0.25
2018-03-13,1.52
2018-03-14,1.45
2018-03-15,1.08
2018-03-16,0.87
2018-03-17,0.32
2018-03-18,0.26
2018-03-19,0.37
2018-03-20,0.53
2018-03-21,0.72
2018-03-22,1.13
2018-03-23,1.0
2018-03-24,0.22
2018-03-25,0.4
2018-03-26,0.98
2018-03-27,0.49
2018-03-28,0.46
2018-03-29,0.23
2018-03-30,0.21
2018-03-31,0.28
2018-04-01,1.04
2018-04-02,1.66
2018-04-03,0.5
2018-04-04,0.9
2018-04-05,1.05
2018-04-06,1.61
2018-04-07,0.31
2018-04-08,0.34
2018-04-09,0.69
2018-04-10,1.03
2018-04-11,1.2
2018-04-12,2.9
2018-04-13,1.46
2018-04-14,1.12
2018-04-15,1.05
2018-04-16,1.39
2018-04-17,2.02
2018-04-18,2.94
2018-04-19,1.76
2018-04-20,1.12
2018-04-21,2.31
2018-04-22,1.42
2018-04-23,0.91
2018-04-24,0.9
2018-04-25,1.09
2018-04-26,0.94
2018-04-27,1.0
2018-04-28,0.89
2018-04-29,0.87
2018-04-30,1.15
2018-05-01,0.86
2018-05-02,1.05
2018-05-03,1.0
2018-05-04,0.97
2018-05-05,0.97
2018-05-06,1.03
2018-05-07,1.67
2018-05-08,0.91
2018-05-09,1.51
2018-05-10,0.91
2018-05-11,1.35
2018-05-12,1.05
2018-05-13,0.92
2018-05-14,0.94
2018-05-15,1.11
2018-05-16,1.07
2018-05-17,0.91
2018-05-18,0.99
2018-05-19,0.87
2018-05-20,0.88
2018-05-21,1.01
2018-05-22,1.24
2018-05-23,1.6
2018-05-24,1.31
2018-05-25,1.45
2018-05-26,0.88
2018-05-27,0.91
2018-05-28,0.94
2018-05-29,1.03
2018-05-30,1.38
2018-05-31,0.9
2018-06-01,0.97
2018-06-02,0.98
2018-06-03,0.88
2018-06-04,1.32
2018-06-05,1.01
2018-06-06,1.05
2018-06-07,0.95
2018-06-08,0.96
2018-06-09,0.9
2018-06-10,1.01
2018-06-11,1.17
2018-06-12,0.88
2018-06-13,0.99
2018-06-14,0.99
2018-06-15,1.11
2018-06-16,0.86
2018-06-17,0.87
2018-06-18,0.94
2018-06-19,0.87
2018-06-20,0.95
2018-06-21,0.97
2018-06-22,0.88
2018-06-23,0.87
2018-06-24,0.96
2018-06-25,1.13
2018-06-26,0.89
2018-06-27,0.86
2018-06-28,0.94
2018-06-29,0.92
2018-06-30,0.99
2018-07-01,0.92
2018-07-02,1.17
2018-07-03,0.93
2018-07-04,1.12
2018-07-05,1.37
2018-07-06,0.89
2018-07-07,0.87
2018-07-08,0.86
2018-07-09,0.89
2018-07-10,0.95
2018-07-11,1.06
2018-07-12,0.95
2018-07-13,0.88
2018-07-14,0.85
2018-07-15,0.87
2018-07-16,0.85
2018-07-17,0.99
2018-07-18,0.99
2018-07-19,0.9
2018-07-20,0.9
2018-07-21,0.9
2018-07-22,0.85
2018-07-23,0.87
2018-07-24,0.97
2018-07-25,1.4
2018-07-26,1.41
2018-07-27,1.4
2018-07-28,1.84
2018-07-29,1.07
2018-07-30,1.94
2018-07-31,1.11
2018-08-01,1.3
2018-08-02,2.63
2018-08-03,5.32
2018-08-04,1.01
2018-08-05,0.9
2018-08-06,2.9
2018-08-07,0.56
2018-08-08,1.24
2018-08-09,1.27
2018-08-10,2.07
2018-08-11,0.5
2018-08-12,0.49
2018-08-13,0.18
2018-08-14,0.25
2018-08-15,0.14
2018-08-16,0.3
2018-08-17,0.2
2018-08-18,0.3
2018-08-19,0.28
2018-08-20,0.53
2018-08-21,0.41
2018-08-22,0.46
2018-08-23,0.33
2018-08-24,0.34
2018-08-25,0.13
2018-08-26,0.25
2018-08-27,1.01
2018-08-28,0.44
2018-08-29,0.32
2018-08-30,0.52
2018-08-31,0.66
2018-09-01,0.44
2018-09-02,0.36
2018-09-03,0.55
2018-09-04,2.06
2018-09-05,0.68
2018-09-06,1.09
2018-09-07,0.74
2018-09-08,0.8
2018-09-09,0.21
2018-09-10,0.69
2018-09-11,1.44
2018-09-12,1.04
2018-09-13,1.35
2018-09-14,0.58
2018-09-15,0.5
2018-09-16,0.37
2018-09-17,1.26
2018-09-18,1.23
2018-09-19,0.86
2018-09-20,1.08
2018-09-21,0.85
2018-09-22,0.47
2018-09-23,0.22
2018-09-24,0.23
2018-09-25,0.52
2018-09-26,1.8
2018-09-27,1.15
2018-09-28,0.54
2018-09-29,0.34
2018-09-30,0.23
2018-10-01,0.27
2018-10-02,1.54
2018-10-03,2.13
2018-10-04,3.51
2018-10-05,2.38
2018-10-06,0.91
2018-10-07,0.69
2018-10-08,1.23
2018-10-09,2.48
2018-10-10,5.68
2018-10-11,4.81
2018-10-12,1.42
2018-10-13,2.01
2018-10-14,0.82
2018-10-15,2.12
2018-10-16,2.91
2018-10-17,2.67
2018-10-18,1.83
2018-10-19,2.39
2018-10-20,1.45
2018-10-21,0.82
2018-10-22,0.63
2018-10-23,1.93
2018-10-24,3.1
2018-10-25,3.73
2018-10-26,2.86
2018-10-27,0.59
2018-10-28,0.68
2018-10-29,1.5
2018-10-30,3.41
2018-10-31,1.89
2018-11-01,1.41
2018-11-02,1.43
2018-11-03,1.13
2018-11-04,1.07
2018-11-05,0.99
2018-11-06,1.59
2018-11-07,1.73
2018-11-08,3.47
2018-11-09,1.52
2018-11-10,3.22
2018-11-11,3.61
2018-11-12,3.06
2018-11-13,4.68
2018-11-14,8.2
2018-11-15,10.66
2018-11-16,9.44
2018-11-17,8.19
2018-11-18,3.43
2018-11-19,2.25
2018-11-20,0.95
2018-11-21,4.66
2018-11-22,3.78
2018-11-23,4.97
2018-11-24,2.71
2018-11-25,1.31
2018-11-26,4.32
2018-11-27,6.43
2018-11-28,11.9
2018-11-29,7.83
2018-11-30,8.16
2018-12-01,7.49
2018-12-02,9.39
2018-12-03,10.82
2018-12-04,5.28
2018-12-05,7.46
2018-12-06,6.69
2018-12-07,5.42
2018-12-08,5.42
2018-12-09,2.76
2018-12-10,6.43
2018-12-11,9.8
2018-12-12,4.84
2018-12-13,1.56
2018-12-14,2.99
2018-12-15,4.37
2018-12-16,1.49
2018-12-17,7.64
2018-12-18,4.37
2018-12-19,4.31
2018-12-20,9.77
2018-12-21,19.77
2018-12-22,10.6
2018-12-23,6.62
2018-12-24,10.89
2018-12-25,6.86
2018-12-26,11.11
2018-12-27,9.13
2018-12-28,8.31
2018-12-29,5.04
2018-12-30,3.42
2018-12-31,4.2808
2019-01-01,1.9229
2019-01-02,0.9325
2019-01-03,4.9666
2019-01-04,5.3475
2019-01-05,5.2195
2019-01-06,4.5154
2019-01-07,4.0362
2019-01-08,5.4658
2019-01-09,4.1633
2019-01-10,3.815
2019-01-11,4.7775
2019-01-12,4.29
2019-01-13,3.1283
2019-01-14,3.4658
2019-01-15,6.0975
2019-01-16,3.6287
2019-01-17,2.3238
2019-01-18,3.6087
2019-01-19,2.6554
2019-01-20,0.9462
2019-01-21,2.1712
2019-01-22,1.5773
2019-01-23,0.7037
2019-01-24,0.8829
2019-01-25,4.1425
2019-01-26,3.6858
2019-01-27,0.5537
2019-01-28,1.2041
2019-01-29,1.6408
2019-01-30,3.775
2019-01-31,3.2462
2019-02-01,1.0645
2019-02-02,0.7241
2019-02-03,1.5858
2019-02-04,7.3875
2019-02-05,6.337
2019-02-06,4.4975
2019-02-07,2.8483
2019-02-08,7.9666
2019-02-09,5.7308
2019-02-10,1.4129
2019-02-11,2.2708
2019-02-12,4.1231
2019-02-13,6.6045
2019-02-14,13.126
2019-02-15,11.452
2019-02-16,7.8033
2019-02-17,3.9016
2019-02-18,1.3708
2019-02-19,2.3954
2019-02-20,4.372
2019-02-21,4.0462
2019-02-22,5.8316
2019-02-23,4.1837
2019-02-24,1.4345
2019-02-25,4.9379
2019-02-26,2.907
2019-02-27,2.832
2019-02-28,2.29
2019-03-01,0.337
2019-03-02,0.2416
2019-03-03,0.1208
2019-03-04,0.12
2019-03-05,0.76
2019-03-06,0.7
2019-03-07,0.76
2019-03-08,1.4
2019-03-09,1.4025
2019-03-10,0.1166
2019-03-11,0.9804
2019-03-12,1.8304
2019-03-13,0.3387
2019-03-14,0.3466
2019-03-15,1.4525
2019-03-16,1.8262
2019-03-17,0.2245
2019-03-18,0.3754
2019-03-19,0.9454
2019-03-20,1.1195
2019-03-21,0.9054
2019-03-22,2.292
2019-03-23,1.4679
2019-03-24,0.8866
2019-03-25,0.2158
2019-03-26,1.0772
2019-03-27,0.7825
2019-03-28,0.9145
2019-03-29,1.3675
2019-03-30,1.7575
2019-03-31,0.722
2019-04-01,1.7066
2019-04-02,1.1145
2019-04-03,0.1562
2019-04-04,1.0216
2019-04-05,0.6991
2019-04-06,0.6962
2019-04-07,0.247
2019-04-08,0.615
2019-04-09,1.8945
2019-04-10,0.2617
2019-04-11,0.7902
2019-04-12,1.3187
2019-04-13,2.177
2019-04-14,2.3904
2019-04-15,2.1419
2019-04-16,2.1419
2019-04-17,1.8933
2019-04-18,0.452
2019-04-19,1.0016
2019-04-20,1.5279
2019-04-21,0.7129
2019-04-22,0.5845
2019-04-23,0.2404
2019-04-24,0.8483
2019-04-25,0.597
2019-04-26,0.2991
2019-04-27,0.9033
2019-04-28,0.1741
2019-04-29,0.9166
2019-04-30,0.9887
2019-05-01,0.8545
2019-05-02,0.9658
2019-05-03,0.5295
2019-05-04,0.6858
2019-05-05,0.0795
2019-05-06,0.617
2019-05-07,2.2013
2019-05-08,0.5104
2019-05-09,1.52
2019-05-10,2.1608
2019-05-11,0.2583
2019-05-12,0.2054
2019-05-13,0.4658
2019-05-14,1.3933
2019-05-15,1.9958
2019-05-16,0.4679
2019-05-17,0.6195
2019-05-18,0.5645
2019-05-19,0.3945
2019-05-20,1.132
2019-05-21,1.1716
2019-05-22,1.2112
2019-05-23,0.48
2019-05-24,0.7616
2019-05-25,0.2587
2019-05-26,0.252
2019-05-27,0.3583
2019-05-28,0.4429
2019-05-29,0.9195
2019-05-30,0.6812
2019-05-31,1.082
2019-06-01,1.482
2019-06-02,0.9045
2019-06-03,0.712
2019-06-04,0.762
2019-06-05,0.3847
2019-06-06,0.5516
2019-06-07,0.2804
2019-06-08,0.5775
2019-06-09,0.3045
2019-06-10,0.4708
2019-06-11,0.2587
2019-06-12,0.4266
2019-06-13,1.0041
2019-06-14,1.2512
2019-06-15,0.6566
2019-06-16,0.4008
2019-06-17,0.6266
2019-06-18,1.1573
2019-06-19,0.8491
2019-06-20,0.4187
2019-06-21,0.2366
2019-06-22,0.61
2019-06-23,0.3345
2019-06-24,0.9441
2019-06-25,1.0862
